timestamp,y,z,θ,y_dot,z_dot,θ_dot,y_req,z_req,θ_req,y_dot_req,z_dot_req,θ_dot_req,f_1,f_2
0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.04022133180275889,-0.0,0.6283185307179586,0.0010159177660922824,8.303692758087122,7.963477585541865
0.01,2.999999923134193,1.0003228585084551,0.0005670252875754255,-3.0746322434184014e-5,0.06457169820610711,0.1134050575150856,2.999980260856137,2.006283143965559,0.04023070020019887,-0.0039478157847294085,0.6283061282480891,0.000857735614179959,8.14060738285904,7.94120056261974
0.02,2.999998811232639,1.0012821654414676,0.0020334205631251127,-0.00023093776672660537,0.12728963860043496,0.17987399759485204,2.9999210442038162,2.0125660398833527,0.04023848600292066,-0.007895475716451378,0.6282689213281087,0.000699399826536975,8.005450896983929,7.894185699102786
0.03,2.999994384099606,1.0028595407527547,0.004017602535542204,-0.0007070682175518122,0.18818526555249213,0.21696239688856636,2.999822352380809,2.0188484397154083,0.040244687704730275,-0.011842823948311283,0.628206911426883,0.0005409164399058231,7.888345100875124,7.832287944823381
0.04,2.999983574765293,1.005036916059323,0.006280655097847439,-0.0015140922190612928,0.2472894910025416,0.23564811557248072,2.9996841892833,2.0251300954433376,0.0402493038599233,-0.01578970464575987,0.6281201009924566,0.00038229151543935037,7.783122619952662,7.761651801227062
0.05,2.999962937169793,1.0077965301309577,0.008672920951448247,-0.0026754038631736617,0.3046328601488195,0.24280505514768075,2.999506560365732,2.0314107590781285,0.04025233308352827,-0.019735961992705348,0.6280084934519571,0.00022353113853950464,7.68592950403079,7.686108199069904
0.06,2.9999288951882632,1.0111209259385547,0.011100673677859864,-0.0041951885710271326,0.36024568642817056,0.24274549013464294,2.999289472640589,2.0376901826699347,0.04025377405154827,-0.023681440197664737,0.6278720932114588,6.46414186924165e-5,7.594354180457087,7.608045116103275
0.07,2.9998778935126027,1.0149929487709737,0.013505310353129315,-0.00606606901769209,0.4141581303502684,0.23818184491924677,2.999032934678125,2.043968118317865,0.04025362550120099,-0.027625983499914242,0.6277109056558097,-9.437151070020304e-5,7.506884460907729,7.528950320340265
0.08,2.999806487740091,1.0193957449062894,0.01585035236993422,-0.00827384525049424,0.46640023396888386,0.230826558441735,2.9987369566060176,2.0502443181797694,0.04025188623115699,-0.03156943617563843,0.6275249371484185,-0.00025350149249337935,7.4225690202477415,7.449749784153253
0.09,2.99971139674295,1.0243127604755882,0.018113316681175717,-0.010800438622802864,0.5170019271284902,0.22176630380656442,2.998401550108975,2.0565185344820245,0.04024855510177624,-0.03551164254407793,0.6273141950310035,-0.0004127423459749167,7.340806331572285,7.371018733808599
0.1,2.999589531590419,1.0297277403022536,0.020280625715514172,-0.01362572386593369,0.5659930178385676,0.21169550306112636,2.998026728428272,2.0627905195293135,0.040243631035342946,-0.03945244697367547,0.6270786876233027,-0.0005720878670451893,7.261213058583946,7.293113293771336
0.11,2.999438009865096,1.0356247266006497,0.022344413687479785,-0.01672867155795412,0.6134031747137564,0.20106209133199643,2.997612506361225,2.0690600257144056,0.04023711301629849,-0.04339169388821989,0.6268184242227451,-0.0007315318284007027,7.183541988030157,7.216252617560711
0.12,2.99925416086385,1.0419880574801628,0.024300516884915493,-0.020088061720705656,0.6592619061404636,0.1901585481551452,2.997158900260614,2.075326805527933,0.040229000091472504,-0.04732922777298809,0.6265334151040844,-0.0008910679797214467,7.107630852844484,7.140570139482181
0.13,2.9990355251033667,1.0488023652359268,0.02614720355540412,-0.02368292968761849,0.7035985387403915,0.1791787859425797,2.9966659280340298,2.0815906115681577,0.040219291370312146,-0.051264893180884424,0.6262236715189924,-0.0010506900478620478,7.033370419158169,7.066145565730644
0.14,2.998779850270178,1.0560525744266063,0.02788436617054246,-0.027492843964988283,0.7464421964706919,0.168253737085088,2.9961336091431727,2.0878511965507434,0.0402079860251093,-0.05519853473857755,0.6258892056956155,-0.0012103917370467566,6.960684587531116,6.993024850125167
0.15,2.9984850849621396,1.0637238997492358,0.029513003103736585,-0.031498077915455454,0.7878217810126442,0.15747364955373772,2.99556196460308,2.094108313318514,0.040195083291225946,-0.05912999715263421,0.6255300308380916,-0.0013701667290682697,6.88951798744352,6.921232673254353
0.16,2.998149371076148,1.071801843725625,0.03103488178958924,-0.035679713701913675,0.8277659537315499,0.14690208761679335,2.9949510169813003,2.100361714851215,0.04018058246731749,-0.06305912521565007,0.6251461611260293,-0.0015300086834904197,6.8198282453703545,6.850780243720229
0.17,2.997771035390411,1.080272194216597,0.03245231600184072,-0.04001970248239042,0.866303119299147,0.13658475483350177,2.994300790396999,2.10661115427526,0.04016448291555391,-0.06698576381237692,0.6247376117139473,-0.0016899112378547362,6.7515811676283235,6.781670179920315
0.18,2.9973485806978037,1.0891210217807177,0.03376801519635575,-0.044500895914017666,0.9034614109737955,0.12655508406950455,2.9936113105200084,2.112856384873482,0.04014678406183908,-0.07090975792584646,0.624304398730677,-0.0018498680078909064,6.68474774080709,6.7138995694984285
0.19,2.9968806767261027,1.0983346768938613,0.034984979655898564,-0.04910705849394792,0.9392686774869375,0.11683780783905842,2.9928826045698136,2.11909716009487,0.04012748539602771,-0.07483095264349005,0.6238465392787252,-0.002009872587731141,6.619302265285117,6.647461891060616
0.2,2.996366151004047,1.1078997870453204,0.03610642502466332,-0.0538228668340631,0.9737524714622272,0.10745126591389192,2.992114701314478,2.1253332335643043,0.04010658647214026,-0.07874919316325439,0.6233640514335991,-0.002169918550128466,6.555221194782552,6.582348225375855
